id;address;authors;authors_original;booktitle;date;editor;editors_original;institution;journal;month;note;pages;publisher;tech;title;type;volume;year
1;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o ;;1994;;;;andersson j appl phys ;;;893;;;inganas and m r ;;76;
2;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;;1994;;;;j appl phys ;;;893;;;;;76;
3;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;;1994;;;;j appl phys ;;;893;;;;;76;
4;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;;1994;;;;j appl phys ;;;893;;;;;76;
5;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;;1994;;;;j appl phys ;;;893;;;;;76;
6;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;;1994;;;;j appl phys ;;;893;;;;;76;
7;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;;1994;;;;j appl phys ;;;893;;;;;76;
8;;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;m ahlskog j paloheimo h stubb p dyreklev m fahlman o inganas and m r andersson ;;1994;;;;journal of applied physics ;;;893;;;;;76;
9;new york ;c ray asfahl ;c ray asfahl ;;1992;;;;;;second edition ;;john wiley and sons ;;robots and manufacturing automation ;;;
10;milan ;steve benford and lennart e fahlen ;steve benford and lennart e fahlen ;in proceedings of ecscw 93;1993;;;;;;;;;;a spatial model of interaction in large virtual environments ;;;
11;stockholm ;benford s and fahln l ;benford s and fahln l ;6th ercim workshop;june 1994;;;;;;;;;;viewpoints actionpoints and spatial frames for collaborative user interfaces ;;;
12;denver colorado usa ;benford s bowers j fahln l greenhalgh c and snowdon d ;benford s bowers j fahln l greenhalgh c and snowdon d ;in proc acm conference on human factors in computing systems chi95;may 7 11 1995;;;;;;;;;;user embodiment in collaborative virtual environments ;;;
13;;benford s bowers j fahlen l e greenhalgh c snowdon d ;benford s bowers j fahlen l e greenhalgh c snowdon d ;in proceedings of chi95;1995;;;;;;;242 249;;;user embodiment in collaborative virtual environments ;;;
14;;benford s bowers j fahlen l e greenhalgh c snowdon d ;benford s bowers j fahlen l e greenhalgh c snowdon d ;in proceedings of chi95;;;;;;;;;;;user embodiment in collaborative virtual environments ;;242 249;
15;;steve benford john bowers lennart fahlen chris greenhalg john mariani and tom rodden ;steve benford john bowers lennart fahlen chris greenhalg john mariani and tom rodden ;;1995;;;;presence ;;;364 386;;;networked virtual realitty and cooperative work ;;4 4;
16;paderborn germany ;brown d f moura h watt d a ;brown d f moura h watt d a ;proceedings of the international workshop on compiler construction cc 92;1992b;in u kas tens p pfahler eds ;;;;;vol 641 of lecture notes in computer science;pp 95 109;springer verlag ;;actress an action semantics directed compiler generator ;;;
17;paderborn germany ;brown d f moura h watt d a ;brown d f moura h watt d a ;proceedings of the international workshop on compiler construction cc 92;1992b;in u kas tens p pfahler eds ;;;;;vol 641 of lecture notes in computer science;pp 95 109;springer verlag ;;actress an action semantics directed compiler generator ;;;
18;paderborn frg ;d f brown h moura and d a watt actress ;d f brown h moura and d a watt actress ;proceedings of the 4th international conference on compiler construction cc 92;october 1992;in u kastens and p pfahler editors ;;;;;volume 641 of lecture notes in computer science;pages 95 109;springer verlag ;;an action semantics directed compiler generator ;;;
19;;b buth k h buth m franzle b v karger y lakhneche h langmaack and m muller olm ;b buth k h buth m franzle b v karger y lakhneche h langmaack and m muller olm ;compiler construction ;1992;in u kastens and p pfahler editors ;;;;;volume 641 of lecture notes in computer science;;springer verlag ;;provably correct compiler development and implementation ;;;
20;;b buth et al ;b buth et al ;compiler construction ;1992;in u karstens and p pfahler eds ;;;;;;pp 141 155;springer verlag lncs 641;;provably correct compiler implementation ;;;
21;;b buth et al ;b buth et al ;compiler construction ;1992;in u karstens and p pfahler eds ;;;;;;pp 141 155;springer verlag lncs 641;;provably correct compiler implementation ;;;
22;;b buth et al ;b buth et al ;compiler construction ;1992;in u karstens and p pfahler eds ;;;;;;pp 141 155;springer verlag lncs 641;;provably correct compiler implementation ;;;
23;;bettina buth karl heinz buth martin franzle burghard von karger yassine lakhneche hans langmaack and markus muller olm ;bettina buth karl heinz buth martin franzle burghard von karger yassine lakhneche hans langmaack and markus muller olm ;compiler construction number 641 in lecture notes in computer science;1992;in u kastens and p pfahler editors ;;;;;;pages 141 155;springer verlag ;;provably correct compiler development and implementation ;;;
24;ny ;conklin j ;conklin j ;in computer supported cooperative work a book of readings ;1985;ed irene greit ;;;;;;513;morgan kaufmann ;;hypertext an introduction and survey ;;;
25;hillsdale nj ;cramer n l ;cramer n l ;proceedings of an international conference on genetic algorithms and their applications ;1985;in grefenstette j editor ;;;;;;pages 183 187;lawrence erlbaum associates ;;a representation for the adaptive generation of simple sequential programs ;;;
26;pittsburgh pa ;daelemans w van den bosch a and weijters t ;daelemans w van den bosch a and weijters t ;;1995;s e and lebiere c ;;school of computer science carnegie mellon university ;;;;;;technical report cmu cs 90 100;1990 the cascade correlation learning architecture;;;
27;;;;proceedings of the third international conference on genetic algorithms ;;in j schaffer ed ;;;;;;pp 42 50;morgan kaufmann ;;an investigation of niche and species formation in genetic function op timization ;;;
28;;;;proceedings of the third international conference on genetic algorithms ;;in j schaffer ed ;;;;;;pp 42 50;morgan kaufmann ;;an investigation of niche and species formation in genetic function optimization ;;;
29;;;;proceedings of the third international conference on genetic algorithms ;1989;in j schaffer ed ;;;;;;pp 42 50;morgan kaufmann ;;an investigation of niche and species formation in genetic function optimization ;;;
30;;dempster a laird n and rubin d ;dempster a laird n and rubin d ;;1977;;;;journal of the royal statistical society b ;;;1 38;;;maximum likelihood from incomplete data via the em algorithm ;;39;
31;;dempster a laird n and rubin d ;dempster a laird n and rubin d ;;1977;;;;journal of the royal statistical society b ;;;1 38;;;maximum likelihood from incomplete data via the em algorithm ;;39;
32;;m dill and m ;m dill and m ;;;;;;perception psychophysics in press ;;;;;;fahle;;;
33;;m dill and m ;m dill and m ;;;;;;perception psychophysics in press ;;;;;;fahle;;;
34;;m dill and m ;m dill and m ;proceedings of the royal society london b in press ;;;;;;;;;;;fahle;;;
35;;m dill and m ;m dill and m ;proceedings of the royal society london b in press ;;;;;;;;;;;fahle;;;
