id1;id2;class
573;38984;DPL
280;38662;DPL
280;25684;DPL
280;34722;DPL
294;62163;DPL
294;45123;DPL
1556;34085;DPL
1556;37764;DPL
1556;18988;DPL
1007;26172;DPL
1007;21661;DPL
1540;9476;DPL
1540;3223;DPL
1540;16109;DPL
1540;61987;DPL
1540;58229;DPL
1540;54034;DPL
1540;38081;DPL
1540;13242;DPL
1540;5312;DPL
1540;46592;DPL
1239;21140;DPL
1239;12405;DPL
1239;21550;DPL
1239;7316;DPL
1239;16442;DPL
1239;5217;DPL
1239;18950;DPL
780;48389;DPL
780;65231;DPL
780;4931;DPL
1048;26275;DPL
1048;19362;DPL
1048;19911;DPL
1048;61389;DPL
1048;55563;DPL
997;31293;DPL
997;34221;DPL
997;50079;DPL
997;40091;DPL
997;5576;DPL
997;35916;DPL
997;44370;DPL
1023;25332;DPL
1023;66611;DPL
1023;16297;DPL
1023;2792;DPL
1023;19244;DPL
1423;15916;DPL
1090;14193;DPL
1090;24250;DPL
1090;10418;DPL
1422;10204;DPL
1422;56420;DPL
1422;17041;DPL
1422;65699;DPL
1422;35040;DPL
1422;62573;DPL
1422;4174;DPL
1422;13200;DPL
1422;58898;DPL
959;25661;DPL
959;15023;DPL
959;2912;DPL
959;12127;DPL
1100;49264;DPL
1177;52994;DPL
1177;20520;DPL
1177;50755;DPL
1177;53845;DPL
1177;35407;DPL
1177;24330;DPL
1038;55794;DPL
1548;42703;DPL
1309;12742;DPL
1309;21457;DPL
745;28613;DPL
745;16058;DPL
1478;64175;DPL
1478;17693;DPL
1478;59926;DPL
1478;9247;DPL
644;34009;DPL
644;36952;DPL
1468;37353;DPL
1468;37662;DPL
1468;10502;DPL
490;52510;DPL
340;17865;DPL
904;22316;DPL
904;28040;DPL
941;48900;DPL
941;52962;DPL
754;41705;DPL
754;26900;DPL
754;40199;DPL
710;66014;DPL
710;58037;DPL
440;21706;DPL
673;40964;DPL
673;10674;DPL
1342;20374;DPL
1342;33754;DPL
1342;60071;DPL
1342;34557;DPL
1342;4439;DPL
469;41000;DPL
1852;31652;DPL
717;25810;DPL
270;20996;DPL
270;19557;DPL
1130;48747;DPL
1130;39606;DPL
1130;51977;DPL
1130;51410;DPL
1130;14716;DPL
1130;33292;DPL
1130;42892;DPL
1130;23150;DPL
1130;24503;DPL
1130;24216;DPL
1130;6575;DPL
277;34648;DPL
884;32577;DPL
796;45817;DPL
1759;55850;DPL
263;41170;DPL
976;34361;DPL
976;49854;DPL
976;47108;DPL
976;58767;DPL
976;46274;DPL
475;56696;DPL
475;65558;DPL
1188;11427;DPL
1188;7151;DPL
1188;2734;DPL
747;33523;DPL
747;14104;DPL
747;36888;DPL
747;38079;DPL
434;19918;DPL
434;11940;DPL
434;17572;DPL
1274;44353;DPL
1263;42653;DPL
1263;52753;DPL
1263;48230;DPL
1020;39614;DPL
1020;40428;DPL
1020;44459;DPL
1020;61952;DPL
1020;47455;DPL
1020;31849;DPL
891;28272;DPL
561;40506;DPL
435;31484;DPL
435;30716;DPL
435;24040;DPL
212;65817;DPL
212;45528;DPL
212;2819;DPL
1595;41286;DPL
1595;50509;DPL
1291;22015;DPL
1291;7734;DPL
1291;18096;DPL
1291;11879;DPL
1676;7278;DPL
1676;3983;DPL
1676;53345;DPL
1676;28614;DPL
1676;40612;DPL
1647;31747;DPL
1386;59956;DPL
1386;64008;DPL
1386;39482;DPL
1119;43308;DPL
1185;39129;DPL
220;3738;DPL
220;26883;DPL
220;8158;DPL
220;41022;DPL
296;59492;DPL
196;49359;DPL
682;27077;DPL
682;22113;DPL
737;58865;DPL
1755;53430;DPL
1641;22380;DPL
1753;8480;DPL
1753;60922;DPL
1753;24878;DPL
1753;56903;DPL
1753;56763;DPL
1753;6954;DPL
1753;4302;DPL
1753;44424;DPL
1753;63400;DPL
1753;20733;DPL
572;27289;DPL
572;30258;DPL
846;28524;DPL
846;33053;DPL
846;12751;DPL
846;38336;DPL
846;19932;DPL
846;16366;DPL
1040;47895;DPL
1040;51909;DPL
1571;64048;DPL
1571;31962;DPL
1124;5831;DPL
1124;10590;DPL
1124;15456;DPL
1124;26999;DPL
1124;17811;DPL
1124;19617;DPL
1124;21433;DPL
982;55979;DPL
1222;23131;DPL
1132;62925;DPL
1132;12548;DPL
1132;25859;DPL
1132;54976;DPL
1132;47140;DPL
1132;52346;DPL
222;29974;DPL
1248;25971;DPL
1206;56086;DPL
1206;38164;DPL
1206;28134;DPL
1206;25779;DPL
1206;41737;DPL
1206;52605;DPL
1206;63074;DPL
1206;16892;DPL
1369;3723;DPL
1369;59751;DPL
1109;38386;DPL
1109;43030;DPL
1109;46971;DPL
1109;58841;DPL
1109;41453;DPL
916;66395;DPL
916;50823;DPL
916;16040;DPL
916;64576;DPL
1480;19829;DPL
1480;42423;DPL
1480;28481;DPL
1480;47874;DPL
1480;36677;DPL
1480;50324;DPL
1480;59576;DPL
1480;41270;DPL
1480;60878;DPL
1031;27006;DPL
1031;26988;DPL
1499;20541;DPL
1558;4527;DPL
1558;45095;DPL
1558;40963;DPL
1758;31826;DPL
1758;12746;DPL
1758;8009;DPL
1758;26492;DPL
679;40665;DPL
1601;29413;DPL
1601;66606;DPL
937;17098;DPL
1612;62308;DPL
496;44719;DPL
496;42410;DPL
496;38256;DPL
305;29809;DPL
1707;44329;DPL
1707;48513;DPL
1434;57880;DPL
1731;59322;DPL
1828;14436;DPL
1353;32974;DPL
1353;51899;DPL
1353;35884;DPL
1353;34242;DPL
873;5442;DPL
873;48734;DPL
1256;38483;DPL
951;31984;DPL
1524;13279;DPL
1524;19444;DPL
1524;8497;DPL
1524;51947;DPL
1524;57951;DPL
417;26812;DPL
706;16313;DPL
1056;6142;DPL
1493;16720;DPL
602;63183;DPL
1282;57732;DPL
1282;61255;DPL
1282;46407;DPL
1282;32305;DPL
1364;29447;DPL
1364;35156;DPL
462;8644;DPL
630;25914;DPL
630;24225;DPL
630;29339;DPL
299;58922;DPL
299;54891;DPL
1125;41720;DPL
1125;56495;DPL
1125;46525;DPL
1340;29493;DPL
1340;25796;DPL
1340;29667;DPL
877;61886;DPL
877;17709;DPL
877;13201;DPL
877;52656;DPL
971;19314;DPL
971;14482;DPL
971;19679;DPL
1016;38596;DPL
1391;11717;DPL
1391;4463;DPL
1391;15222;DPL
1391;7472;DPL
898;51795;DPL
593;37558;DPL
593;26919;DPL
593;33943;DPL
854;28690;DPL
854;13171;DPL
854;9862;DPL
854;16156;DPL
1196;23099;DPL
1554;26937;DPL
1554;30902;DPL
1554;19185;DPL
1771;25514;DPL
1771;38068;DPL
1771;58502;DPL
1771;8304;DPL
1771;4401;DPL
1730;38229;DPL
1330;50867;DPL
1330;12508;DPL
1330;18905;DPL
1330;40000;DPL
1330;8858;DPL
1330;14645;DPL
1330;29315;DPL
1330;55973;DPL
1330;22944;DPL
1236;39729;DPL
1236;39365;DPL
1236;62728;DPL
1236;34807;DPL
1236;4671;DPL
1236;14550;DPL
1236;57795;DPL
1236;26301;DPL
1236;48733;DPL
1236;65528;DPL
1236;55302;DPL
1236;19750;DPL
1236;43928;DPL
1579;51559;DPL
1579;49244;DPL
1049;9160;DPL
1049;55993;DPL
1049;14023;DPL
1081;60204;DPL
1457;56771;DPL
505;46494;DPL
505;32248;DPL
696;53588;DPL
696;63036;DPL
696;58077;DPL
539;13826;DPL
539;13175;DPL
539;9112;DPL
1804;24648;DPL
1674;30382;DPL
1674;6271;DPL
1674;36278;DPL
1674;30656;DPL
483;63419;DPL
1454;6331;DPL
1454;6487;DPL
1454;38385;DPL
1454;10503;DPL
1454;12966;DPL
1454;21779;DPL
1454;19605;DPL
1454;25682;DPL
1454;53856;DPL
405;41494;DPL
1625;49228;DPL
662;26140;DPL
586;55768;DPL
641;45184;DPL
936;29508;DPL
936;61119;DPL
936;58096;DPL
619;21309;DPL
619;65972;DPL
619;13402;DPL
880;30586;DPL
880;26500;DPL
880;65453;DPL
1815;6752;DPL
1083;10199;DPL
1778;34463;DPL
1778;23575;DPL
1778;62097;DPL
1778;10824;DPL
1778;3032;DPL
1778;15164;DPL
1778;6880;DPL
1778;40182;DPL
1312;27696;DPL
1312;23049;DPL
1312;24033;DPL
1312;26090;DPL
1312;22065;DPL
1713;58623;DPL
1713;47887;DPL
1713;15223;DPL
1713;45847;DPL
1713;8378;DPL
1285;38635;DPL
1285;44190;DPL
1285;8004;DPL
1285;33473;DPL
1285;15350;DPL
1381;15634;DPL
1381;31147;DPL
1381;12401;DPL
1381;20312;DPL
711;18753;DPL
711;25441;DPL
739;65349;DPL
739;61721;DPL
762;25513;DPL
1850;22056;DPL
1850;16919;DPL
1850;25065;DPL
1817;9987;DPL
1817;52914;DPL
1246;44115;DPL
1079;58367;DPL
1148;53194;DPL
1148;60074;DPL
901;55877;DPL
1350;59557;DPL
1350;55332;DPL
1350;51502;DPL
407;39240;DPL
407;19724;DPL
1277;53537;DPL
432;58478;DPL
432;66046;DPL
432;3352;DPL
888;61964;DPL
888;56948;DPL
764;28260;DPL
764;40450;DPL
1057;33661;DPL
1057;37843;DPL
1057;26865;DPL
1057;23651;DPL
544;32612;DPL
544;38008;DPL
1094;53064;DPL
1094;56991;DPL
1094;47078;DPL
1094;63779;DPL
945;48572;DPL
945;44384;DPL
1378;46520;DPL
1378;53589;DPL
1383;66462;DPL
1383;63011;DPL
1383;17788;DPL
1383;60613;DPL
1383;56390;DPL
597;28426;DPL
597;55188;DPL
1617;24404;DPL
1617;16475;DPL
1429;56650;DPL
356;39724;DPL
356;44909;DPL
494;26256;DPL
494;33197;DPL
213;13687;DPL
341;40399;DPL
1172;33764;DPL
1172;16293;DPL
1172;39407;DPL
1172;51245;DPL
1172;39752;DPL
1172;42281;DPL
1172;35831;DPL
1172;32398;DPL
999;8584;DPL
999;12495;DPL
999;14667;DPL
1096;48090;DPL
1096;43194;DPL
1096;65440;DPL
1096;27924;DPL
1096;38477;DPL
1230;48540;DPL
1230;46669;DPL
1230;13603;DPL
1327;50781;DPL
1327;41928;DPL
1327;38401;DPL
1451;28829;DPL
1451;20398;DPL
1451;24208;DPL
1451;25937;DPL
889;23101;DPL
889;17164;DPL
825;66725;DPL
704;14861;DPL
289;66518;DPL
289;56123;DPL
715;44006;DPL
715;33865;DPL
715;54638;DPL
517;63883;DPL
844;64296;DPL
844;5295;DPL
844;8985;DPL
844;31109;DPL
844;58307;DPL
844;14758;DPL
844;40757;DPL
1725;58741;DPL
1725;37047;DPL
1725;18828;DPL
1725;44305;DPL
575;37346;DPL
1211;37000;DPL
603;44396;DPL
603;48070;DPL
603;39710;DPL
1509;27495;DPL
1509;30531;DPL
1509;33530;DPL
1136;35367;DPL
1136;31500;DPL
425;7798;DPL
855;51643;DPL
855;64830;DPL
855;61629;DPL
548;40605;DPL
1272;31903;DPL
1489;40174;DPL
1489;4080;DPL
1489;22415;DPL
1489;22629;DPL
1489;63678;DPL
1489;13376;DPL
769;29053;DPL
1720;31862;DPL
1720;35939;DPL
1720;4267;DPL
1720;14399;DPL
1720;16838;DPL
1720;24926;DPL
1720;38588;DPL
1720;21008;DPL
1460;50167;DPL
1460;19303;DPL
1460;21033;DPL
1460;35056;DPL
852;42266;DPL
852;45496;DPL
852;40991;DPL
852;35815;DPL
852;42883;DPL
852;66851;DPL
391;49895;DPL
391;41547;DPL
391;18044;DPL
391;36907;DPL
391;48807;DPL
678;53530;DPL
1257;4114;DPL
1257;47623;DPL
1257;54247;DPL
1257;56955;DPL
1163;44199;DPL
1163;23638;DPL
1163;57789;DPL
1163;65426;DPL
1163;60479;DPL
1163;17330;DPL
1163;53784;DPL
1168;28386;DPL
1168;29688;DPL
1226;14794;DPL
383;65802;DPL
1464;64688;DPL
1464;46554;DPL
1464;43508;DPL
1464;21871;DPL
1396;35678;DPL
1396;24395;DPL
1396;35064;DPL
1750;55885;DPL
1750;11949;DPL
1750;22492;DPL
1750;2858;DPL
1677;19638;DPL
1768;27019;DPL
1513;40849;DPL
1792;29994;DPL
1792;50461;DPL
