Time,Number of duplicates
(0,0)
(0.05,0)
(0.1,206)
(0.15,1951)
(0.2,1951)
(0.25,2926)
(0.3,5353)
(0.35,7247)
(0.4,8622)
(0.45,10065)
(0.5,11366)
(0.55,12392)
(0.6,13554)
(0.65,14422)
(0.7,15543)
(0.75,16513)
(0.8,17278)
(0.85,18384)
(0.9,18995)
(0.95,19997)
(1.0,20550)
(1.05,21580)
(1.1,22317)
(1.15,23038)
(1.2,24083)
(1.25,24525)
(1.3,25360)
(1.35,25829)
(1.4,26218)
(1.45,27049)
(1.5,27321)
(1.55,27802)
(1.6,28101)
(1.65,28203)
(1.7,28264)
(1.75,28393)
(1.8,28673)
(1.85,28766)
(1.9,29009)
(1.95,29201)
(2.0,29557)
(2.05,29786)
(2.1,30087)
(2.15,30401)
(2.2,30633)
(2.25,30836)
(2.3,31113)
(2.35,31303)
(2.4,31562)
(2.45,31678)
(2.5,31859)
(2.55,31994)
(2.6,32088)
(2.65,32223)
(2.7,32291)
(2.75,32367)
(2.8,32422)
(2.85,32463)
(2.9,32474)
(2.95,32507)
(3.0,32523)
