Time,Number of duplicates
(0,0)
(0.05,1951)
(0.1,5192)
(0.15,7717)
(0.2,9533)
(0.25,11617)
(0.3,13301)
(0.35,15207)
(0.4,16676)
(0.45,18142)
(0.5,19552)
(0.55,20809)
(0.6,22181)
(0.65,23442)
(0.7,24928)
(0.75,25993)
(0.8,27040)
(0.85,27790)
(0.9,28452)
(0.95,29119)
(1.0,29724)
(1.05,30146)
(1.1,30518)
(1.15,30965)
(1.2,31343)
(1.25,31620)
(1.3,31901)
(1.35,32074)
(1.4,32274)
(1.45,32384)
(1.5,32463)
(1.55,32488)
(1.6,32522)
(1.65,32538)
(1.7,32603)
(1.75,32696)
(1.8,32791)
(1.85,32893)
(1.9,33151)
(1.95,33412)
(2.0,33579)
(2.05,33732)
(2.1,33948)
(2.15,34413)
(2.2,35427)
(2.25,36628)
(2.3,37852)
(2.35,39164)
(2.4,40223)
(2.45,41112)
(2.5,42039)
(2.55,42875)
(2.6,43665)
(2.65,44417)
(2.7,45122)
(2.75,45785)
(2.8,46426)
(2.85,46954)
(2.9,47461)
(2.95,47814)
(3.0,48271)
