Time,Number of duplicates
(0,0)
(0.05,703)
(0.1,2278)
(0.15,5737)
(0.2,8887)
(0.25,11191)
(0.3,13078)
(0.35,14686)
(0.4,16429)
(0.45,18056)
(0.5,19416)
(0.55,20719)
(0.6,22098)
(0.65,23400)
(0.7,24490)
(0.75,25716)
(0.8,26796)
(0.85,27630)
(0.9,28344)
(0.95,29044)
(1.0,29570)
(1.05,30036)
(1.1,30477)
(1.15,30886)
(1.2,31251)
(1.25,31563)
(1.3,31834)
(1.35,32052)
(1.4,32223)
(1.45,32348)
(1.5,32454)
(1.55,32481)
(1.6,32507)
(1.65,32534)
(1.7,32568)
(1.75,32645)
(1.8,32787)
(1.85,33573)
(1.9,34968)
(1.95,36232)
(2.0,37603)
(2.05,38689)
(2.1,39853)
(2.15,40975)
(2.2,41876)
(2.25,42766)
(2.3,43677)
(2.35,44443)
(2.4,45164)
(2.45,45753)
(2.5,46340)
(2.55,46913)
(2.6,47375)
(2.65,47812)
(2.7,48207)
(2.75,48573)
(2.8,48857)
(2.85,49151)
(2.9,49418)
(2.95,49623)
(3.0,49793)
