id;artist;category;genre;title;year
10000;backstreet boys;blues;pop;millennium;
100001;various;data;;frankfurt trance vol 04 cd1;
100002;no return;data;data;self mutilation;
100003;ã â â ã â ã â ºâ ã â å ;data;pop;ã æ â³ã â žã â âºã â ã â ¹ã â ã â šâ ;1989
100004;emanuel;data;data;felicidade;1998
100005;ã å â ã â ºâ ã â ºâ ºã â â ;data;musical;catsã â â ã â šâªã æ âªã â šâ ã æ å ã æ â ã â½â ã â šâ ã æ â ã â šâ¹ã æ ë ;
100006;luv lite massive;data;electronic;one love;
100007;various artists;data;electronic;nop pop 2;2002
100008;dmbq;data;rock;dmbq;2002
100009;4 p m;data;acapella;sweet soul;2001
100010;various;data;;frankfurt trance vol 05 cd1;
100011;â¾ã â â ã ãœ worship;data;;child praise vol 1;
100012;rumania montevideo;data;pop;mo better tracks;
100014;modern talking;data;pop;univers;1997
100015;keedy;data;data;chase the clouds;
100016; ;data;rock;subway express;
100017;various;data;house;micmac house dance party;1996
100019;bill evans;data;;alone;1968
100020;nature destroyed;data;;shades;
100021;pearl jam;data;hard rock;yield;1998
100022;dingdong avanzado;data;;the best of dingdong avanzado;
100024;175r;data;jpop;songs;2003
100025;variousce italiennes disc 1;data;;la dolce vita les tubes dance italiens les chansons dance italiennes disc 1;
100026;day after tomorrow;data;pop;elements;2003
100027;v a;data;ccm;ãƒã âºâ¹ cd 09;2001
100028;jazz signatures;data;data;jazz signatures;1998
100029;bernadã te bidã ude;data;data;pomme d amour;
100030;ã â â ã â ã â â¾ã âµ;data;jpop;disc13 ã å â ã â ã â ¹ã â šå;2003
100031;spartak;data;electronic;golem;1990
100032;v8 5e;data;;v8 5e;
100034;ã â šã å â ã å å ã â â¾;data;pop;lucy;2001
100035;gazebo;data;;the best of gazebo;
100036;dj irish;data;trance;assorted trance vol 8;2003
100037;sportfreunde stiller;data;data;die gute seite;
100038;rennie pilgrim presents;data;data;nu skool breakz 2;
100039;various;sonytsid7008;data;salsaenlacalleocho 96;
100040;barbara streisand;data;easy listening;a love like ours;1999
100041;italo house;data;rave;12 in mixes;
100042;deux;data;data;forever;
100043;v a ;data;ã â šâµã â šâ ã æ â³ã æ â ã æ ë ã æ â ã æ æ ã â šâ ã â â ã ë â ;beating surviver another ;2002
100044;various;data;data;custom music cd;
100045;matsuka phonics;data;data;let s study phonics 2;2002
100046;kool savas;data;deutsch rap;euer bester freund mix cd;2004
100047;robotika;data;data;dance;
100048;the breeders;data;rock;pod;1990
100049;johnny hallyday;data;;vol 4;
100050;phallus;data;metal;reason;2003
100051;ã â â ã â å½ã â¾ã â ã â šë ã â ;data;jpop;home;1997
100052;rolling stones;data;data;giant stadium 17 08 1994 cd 2;1994
100054;ã ã ã ã ã ã ã¹ã ã ã ã ã ã ;data;data;ã ã ã ã ã ã¹;
100055;nakama1;data;speech;cd5 chapters 8 9;audio cd program
100056;various artists;data;dance;essential selection winter 97 cd1;1997
100057;ã ë â ã å â ã â šã â ;data;jpop;infinity eighteen vol 1;2000
100058;green day;data;;dookie;
